message,severity,attributes,tags,timestamp
"100.64.0.5 - - [18/May/2026 13:16:56] ""GET /api/search_users?q=gl HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:56.042747253Z
"100.64.0.5 - - [18/May/2026 13:16:56] ""GET /api/search_users?q=glhxty HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:16:56.919959897Z
"100.64.0.2 - - [18/May/2026 13:17:01] ""GET /profile/zer0tune HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:01.243286345Z
"100.64.0.2 - - [18/May/2026 13:17:01] ""[36mGET /static/css/style.css HTTP/1.1[0m"" 304 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:01.660638114Z
/app/app.py:276: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).,error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:07.548854325Z
  user.last_seen = datetime.utcnow(),error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:07.548857405Z
"100.64.0.2 - - [18/May/2026 13:17:07] ""[32mGET /logout HTTP/1.1[0m"" 302 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:07.548859685Z
"100.64.0.2 - - [18/May/2026 13:17:07] ""GET /login HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:07.955063000Z
"100.64.0.2 - - [18/May/2026 13:17:08] ""[36mGET /static/css/style.css HTTP/1.1[0m"" 304 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:08.357406941Z
"100.64.0.2 - - [18/May/2026 13:17:10] ""GET /register HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:10.262773855Z
"100.64.0.2 - - [18/May/2026 13:17:10] ""[36mGET /static/css/style.css HTTP/1.1[0m"" 304 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:10.670661922Z
"100.64.0.2 - - [18/May/2026 13:17:17] ""[32mPOST /register HTTP/1.1[0m"" 302 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:17.283958094Z
"100.64.0.2 - - [18/May/2026 13:17:17] ""GET /chat HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:17.646886787Z
"100.64.0.2 - - [18/May/2026 13:17:18] ""[36mGET /static/css/style.css HTTP/1.1[0m"" 304 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:18.043427551Z
"100.64.0.2 - - [18/May/2026 13:17:18] ""[36mGET /static/js/chat.js HTTP/1.1[0m"" 304 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:18.241505566Z
"100.64.0.2 - - [18/May/2026 13:17:18] ""[36mGET /static/js/calls.js HTTP/1.1[0m"" 304 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:18.241508246Z
"100.64.0.2 - - [18/May/2026 13:17:18] ""GET /socket.io/?EIO=4&transport=polling&t=PuxEzea HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:18.490040727Z
"100.64.0.2 - - [18/May/2026 13:17:18] ""POST /socket.io/?EIO=4&transport=polling&t=PuxEzkD&sid=Xb2S8qhNi6Z63AtiAAAE HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:18.859792166Z
"100.64.0.2 - - [18/May/2026 13:17:18] ""GET /socket.io/?EIO=4&transport=polling&t=PuxEzkE&sid=Xb2S8qhNi6Z63AtiAAAE HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:18.998316492Z
"100.64.0.5 - - [18/May/2026 13:17:19] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:19.260995120Z
"100.64.0.2 - - [18/May/2026 13:17:19] ""GET /socket.io/?EIO=4&transport=polling&t=PuxEzrD&sid=Xb2S8qhNi6Z63AtiAAAE HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:19.405091680Z
"100.64.0.2 - - [18/May/2026 13:17:19] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:19.405096080Z
"100.64.0.2 - - [18/May/2026 13:17:19] ""GET /socket.io/?EIO=4&transport=polling&t=PuxEzy2&sid=Xb2S8qhNi6Z63AtiAAAE HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:19.743585481Z
"100.64.0.2 - - [18/May/2026 13:17:19] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:19.743591951Z
"100.64.0.5 - - [18/May/2026 13:17:21] ""GET /api/search_users?q=glhxt HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:21.576591589Z
"100.64.0.5 - - [18/May/2026 13:17:21] ""GET /static/default_avatar.svg HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:21.936815609Z
"100.64.0.5 - - [18/May/2026 13:17:22] ""GET /api/search_users?q=glhxty HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:22.474701133Z
"100.64.0.5 - - [18/May/2026 13:17:23] ""GET /api/user/2 HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:23.292659210Z
"100.64.0.5 - - [18/May/2026 13:17:23] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:23.292668530Z
"100.64.0.5 - - [18/May/2026 13:17:23] ""GET /api/messages/2?page=1 HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:23.292674950Z
"100.64.0.5 - - [18/May/2026 13:17:23] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:23.774446981Z
"100.64.0.5 - - [18/May/2026 13:17:27] ""POST /api/send_message HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:27.871191650Z
"100.64.0.5 - - [18/May/2026 13:17:28] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:28.299673215Z
"100.64.0.5 - - [18/May/2026 13:17:28] ""GET /api/messages/2?page=1 HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:28.299680145Z
"100.64.0.5 - - [18/May/2026 13:17:29] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:29.120246486Z
"100.64.0.2 - - [18/May/2026 13:17:37] ""GET /chat HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:37.744842101Z
"100.64.0.7 - - [18/May/2026 13:17:37] ""GET /socket.io/?EIO=4&transport=websocket&sid=Xb2S8qhNi6Z63AtiAAAE HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:38.027882354Z
"100.64.0.2 - - [18/May/2026 13:17:38] ""[36mGET /static/css/style.css HTTP/1.1[0m"" 304 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:38.214439267Z
"100.64.0.2 - - [18/May/2026 13:17:38] ""[36mGET /static/js/chat.js HTTP/1.1[0m"" 304 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:38.233642196Z
"100.64.0.2 - - [18/May/2026 13:17:38] ""[36mGET /static/js/calls.js HTTP/1.1[0m"" 304 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:38.233647966Z
"100.64.0.5 - - [18/May/2026 13:17:38] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:38.369578707Z
"100.64.0.2 - - [18/May/2026 13:17:38] ""GET /socket.io/?EIO=4&transport=polling&t=PuxF2Yg HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:38.616855431Z
"100.64.0.2 - - [18/May/2026 13:17:38] ""[36mGET /static/favicon.svg HTTP/1.1[0m"" 304 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:38.690291658Z
"100.64.0.2 - - [18/May/2026 13:17:38] ""POST /socket.io/?EIO=4&transport=polling&t=PuxF2eN&sid=u8s2lCG5x3WQx0GKAAAG HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:38.961815725Z
"100.64.0.2 - - [18/May/2026 13:17:38] ""GET /socket.io/?EIO=4&transport=polling&t=PuxF2eO&sid=u8s2lCG5x3WQx0GKAAAG HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:38.961820355Z
"100.64.0.5 - - [18/May/2026 13:17:39] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:39.343004370Z
"100.64.0.2 - - [18/May/2026 13:17:39] ""GET /socket.io/?EIO=4&transport=polling&t=PuxF2k8&sid=u8s2lCG5x3WQx0GKAAAG HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:39.412254801Z
"100.64.0.2 - - [18/May/2026 13:17:39] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:39.412257911Z
"100.64.0.2 - - [18/May/2026 13:17:39] ""GET /socket.io/?EIO=4&transport=polling&t=PuxF2qn&sid=u8s2lCG5x3WQx0GKAAAG HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:39.753830915Z
"100.64.0.2 - - [18/May/2026 13:17:39] ""GET /static/default_avatar.svg HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:39.753837295Z
"100.64.0.2 - - [18/May/2026 13:17:39] ""GET /api/conversations HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:39.753841405Z
"100.64.0.2 - - [18/May/2026 13:17:41] ""GET /api/user/1 HTTP/1.1"" 200 -",error,"{""level"":""error""}","{""project"":""a543bbec-92a6-4c17-a86b-36d2d203bde7"",""environment"":""b748fcf6-c19e-4f03-b1c4-5c96640750d0"",""service"":""84fbc0a9-d0ed-4b4a-a6c5-b0973e521f20"",""deployment"":""7bd00b20-fa73-48f8-9072-8188fccbeedc"",""replica"":""12ac0534-10f9-43f2-8292-7289082ddf3a""}",2026-05-18T13:17:41.493966619Z
